ACCIDENT_NO,Lat,Long,POSTCODE_NO,NODE_ID
T20150000777,-36.14052055,144.7554231,3564,51413.0
T20150000779,-38.33228789,144.3194504,3228,280913.0
T20150000780,-37.85917445,145.0013338,3183,57518.0
T20150000782,-37.7419299,144.966489,3058,280813.0
T20150000784,-38.34179867,144.7474416,3943,289730.0
T20150000786,-37.56706272,145.920157,3779,280793.0
T20150000787,-38.15801017,145.4845513,3981,280761.0
T20150000788,-37.74254508,145.0225587,3072,44460.0
T20150000789,-37.87548878,144.6618653,3030,277661.0
T20150000790,-37.06103906,145.1806216,3660,280944.0
T20150000793,-37.91310196,145.2983626,3156,291572.0
T20150000794,-37.79341738,144.9712057,3053,287520.0
T20150000795,-37.80997909,145.3427238,3765,534.0
T20150000798,-36.37787019,141.7970818,3418,281992.0
T20150000799,-37.79460697,145.2415453,3134,39673.0
T20150000801,-37.71651293,145.0423759,3083,281463.0
T20150000802,-37.64974549,145.0054128,3076,57187.0
T20150000805,-38.2247637,144.6353626,3222,50265.0
T20150000806,-37.84071179,145.1344281,3128,40708.0
T20150000807,-37.69206774,144.7442004,3037,280757.0
T20150000808,-37.70636249,144.860423,3043,281008.0
T20150000810,-37.72650643,144.939348,3044,41880.0
T20150000811,-38.12216951,144.2131101,3218,280272.0
T20150000812,-37.73658327,144.9903011,3072,996.0
T20150000814,-37.8667419,145.255889,3155,282799.0
T20150000819,-37.78326322,145.1242176,3108,37496.0
T20150000820,-37.81798166,144.9938497,3121,281178.0
T20150000821,-36.57292996,145.4323101,3666,281320.0
T20150000823,-37.81516126,144.807567,3030,10565.0
T20150000825,-37.58692713,143.8287493,3356,282755.0
T20150000827,-37.69743395,144.7811504,3038,29435.0
T20150000829,-37.8001982,144.9033463,3011,35447.0
T20150000830,-37.51986487,143.8400627,3355,280897.0
T20150000831,-37.4771996,144.7958866,3430,286981.0
T20150000835,-37.92680757,145.0451205,3204,280898.0
T20150000836,-37.88602746,144.9990846,3185,281001.0
T20150000839,-37.80054573,144.992869,3066,36667.0
T20150000843,-37.86227422,145.0275691,3143,281299.0
T20150000845,-38.69427731,143.7083052,3233,247372.0
